# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis	124	3	1	0	2.2501	0.9840	1.6060	3.3780	4.8370
aegis	125	3	1	0	2.1196	1.3780	1.8210	2.3760	2.5090
aegis	126	3	1	0	1.5689	1.2540	1.3530	1.7810	2.0240
aegis	127	3	0	0	1.4380	1.2480	1.4170	1.4800	1.5000
aegis	128	3	1	0	1.1888	0.7730	0.9270	1.4340	1.7590
aegis	129	3	1	0	1.3036	0.2430	0.6480	2.0030	2.5810
aegis	130	3	1	0	1.3865	1.2690	1.3220	1.4530	1.5160
aegis	131	3	1	0	1.2677	0.7190	1.0040	1.4210	1.5060
aegis	132	3	1	0	2.9790	2.8570	2.9070	3.0480	3.1050
aegis	133	3	1	0	3.0383	3.1230	3.1470	3.3490	3.4560
aegis	134	3	0	0	1.4861	1.1730	1.3360	1.5750	2.3600
aegis	135	3	1	0	0.7194	0.4960	0.5880	0.8390	0.9450
aegis	136	3	0	0	3.0379	2.3150	2.4170	3.1420	3.2470
aegis	137	3	1	0	1.5375	1.1630	1.2970	1.7830	2.0860
aegis	138	3	1	0	0.5666	0.4750	0.5180	0.6170	0.6550
aegis	139	3	1	0	0.3617	0.2480	0.3190	0.4070	0.4370
aegis	140	3	1	0	0.5372	0.3710	0.4370	0.5110	0.5160
aegis	141	3	1	0	0.8274	0.2870	0.6850	1.0030	1.1470
aegis	142	3	0	0	1.7767	1.5170	1.6560	1.8990	1.9430
aegis	143	3	1	0	0.8536	0.7460	0.7890	0.9230	0.9760
aegis	144	3	1	0	1.4650	0.9780	1.1600	1.9020	2.2860
aegis	145	3	1	0	0.7842	0.6870	0.7230	0.8420	0.9320
aegis	146	3	1	0	2.7813	2.7030	2.7330	2.8380	2.8700
aegis	147	3	1	0	1.4084	1.1120	1.2630	1.5410	1.8770
aegis	148	3	1	0	0.9332	0.7890	0.8650	1.0020	1.0740
aegis	149	3	1	0	0.7544	0.6220	0.6910	0.8210	0.8770
aegis	150	3	1	0	2.2508	1.5790	2.0800	2.4360	2.5680
aegis	151	3	1	0	0.6786	0.6150	0.6440	0.7150	0.7420
aegis	152	3	1	0	2.0350	1.4140	1.6660	2.3080	2.4400
aegis	153	3	1	0	0.5814	0.0720	0.2580	0.7770	0.8490
aegis	154	3	1	0	0.1824	0.0410	0.1460	0.2360	0.2620
aegis	155	3	1	0	1.1587	1.0580	1.1240	1.1990	1.2260
aegis	156	3	1	0	2.2020	1.4780	1.8640	2.4990	2.6910
aegis	157	3	0	0	2.5035	2.4530	2.4630	2.5450	2.5550
aegis	158	3	1	0	1.3380	0.9200	1.0440	1.7300	1.9240
aegis	159	3	1	0	1.9318	1.4350	1.6440	2.1920	2.3500
aegis	160	3	1	0	0.5312	0.4240	0.4740	0.5890	0.6330
aegis	161	3	1	0	2.7596	2.6310	2.6860	2.8370	2.8860
aegis	162	3	1	0	1.1555	0.9390	1.0540	1.2670	1.3400
aegis	163	3	1	0	0.2282	0.1580	0.1920	0.2590	0.3190
aegis	164	3	1	0	2.1686	2.0660	2.0900	2.2420	2.3010
aegis	165	3	1	0	0.4540	0.1030	0.3190	0.5590	1.1210
aegis	166	3	1	0	4.5714	4.2730	4.4200	4.7230	4.8790
aegis	167	3	1	0	2.0934	1.5100	1.9830	2.2410	2.3140
aegis	168	3	1	0	0.9169	0.7720	0.8490	0.9930	1.0800
aegis	169	3	1	0	0.9598	0.2710	0.4830	1.2140	1.2860
aegis	170	3	1	0	2.9010	2.7830	2.8300	2.9650	3.0590
aegis	171	3	1	0	0.8675	0.7250	0.7970	0.9330	0.9810
aegis	172	3	1	0	3.5560	3.2230	3.3790	3.7380	3.9090
aegis	173	3	1	0	2.3065	2.1530	2.2300	2.3820	2.4370
aegis	174	3	0	0	1.9481	1.7930	1.8930	2.0080	2.0330
aegis	175	3	0	0	0.0397	0.0140	0.0260	0.0550	0.0650
aegis	176	3	1	0	1.4516	0.7680	1.0240	1.8690	2.2170
aegis	177	3	1	0	1.6137	1.2690	1.4390	1.7660	1.8910
aegis	178	3	1	0	1.1463	0.7970	0.9420	1.3320	1.7200
aegis	179	3	1	0	4.5090	4.2240	4.3530	4.6500	4.7140
aegis	180	3	1	0	0.9843	0.8580	0.9150	1.0550	1.1120
aegis	181	3	1	0	0.9174	0.8270	0.8690	0.9670	1.0140
aegis	182	3	1	0	1.6264	1.3580	1.4260	2.0340	2.2210
aegis	183	3	1	0	0.6849	0.5960	0.6350	0.7310	0.8290
aegis	184	3	1	0	0.5457	0.4370	0.4840	0.6050	0.6460
aegis	185	3	1	0	2.3879	2.2210	2.2960	2.4800	2.5830
aegis	186	3	1	0	1.8855	1.3750	1.5420	2.1640	2.4300
aegis	187	3	1	0	2.1433	1.3600	1.8760	2.3980	2.5410
aegis	188	3	1	0	1.3902	0.8940	1.0800	1.6400	1.7140
aegis	189	3	1	0	1.0748	0.8400	0.9920	1.1610	1.2460
aegis	190	3	1	0	1.5249	1.2050	1.3230	1.7530	2.2000
aegis	191	3	1	0	0.9807	0.4220	0.7400	1.1400	1.7500
aegis	192	3	1	0	1.0002	0.9450	0.9710	1.0310	1.0500
aegis	193	3	1	0	1.2402	1.1000	1.1720	1.3090	1.3720
aegis	194	3	0	0	0.5597	0.5020	0.5250	0.5940	0.6170
aegis	195	3	1	0	1.5610	1.4710	1.5090	1.6080	1.6720
aegis	196	3	1	0	3.7081	3.5730	3.6250	3.9270	4.0750
aegis	197	3	0	0	0.0741	0.0110	0.0190	0.1310	0.2710
aegis	198	3	1	0	2.8438	2.6390	2.7230	2.9640	3.0880
aegis	199	3	1	0	1.7177	1.1230	1.4630	1.9850	2.1950
aegis	200	3	0	0	2.4975	2.3770	2.4530	2.5490	2.5860
aegis	201	3	1	0	1.8153	1.4890	1.6810	1.9490	2.0290
aegis	202	3	1	0	2.5789	0.2370	0.5210	2.7310	2.9690
aegis	203	3	1	0	1.3416	0.6700	0.8720	1.8690	2.6330
aegis	204	3	1	0	1.7913	1.2770	1.4490	2.1300	2.3750
aegis	205	3	1	0	0.1371	0.0340	0.0590	0.1910	0.2510
aegis	206	3	1	0	2.0482	1.5700	1.8000	2.2600	2.4030
aegis	207	3	1	0	0.1983	0.0860	0.1490	0.2490	0.3120
aegis	208	3	0	0	3.3515	3.2570	3.2920	3.4150	3.4590
aegis	209	3	1	0	1.4393	1.3540	1.3910	1.4880	1.5310
aegis	210	3	1	0	1.6202	1.1000	1.3350	1.9210	2.1830
aegis	211	3	1	0	3.3108	3.1290	3.2080	3.4160	3.5040
aegis	212	3	1	0	2.9956	2.5670	2.7910	3.2060	3.3830
aegis	213	3	1	0	0.8859	0.7270	0.8010	0.9690	1.0340
aegis	214	3	0	0	2.9557	2.8360	2.8850	3.0330	3.0800
aegis	215	3	1	0	0.6204	0.4720	0.5520	0.6780	0.7680
aegis	216	3	1	0	1.8228	1.3860	1.5650	2.0570	2.2150
aegis	217	3	1	0	2.5812	1.3730	2.1010	3.0770	3.3260
aegis	218	3	1	0	0.0447	0.0120	0.0240	1.7430	2.0250
aegis	219	3	0	0	2.8249	2.5070	2.5930	3.0250	3.1680
aegis	220	3	1	0	2.8960	2.7340	2.8030	2.9910	3.0750
aegis	221	3	0	0	0.3171	0.2550	0.2780	0.3580	0.3870
aegis	222	3	1	0	1.5986	1.2560	1.3800	1.8200	2.0810
aegis	223	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	224	3	1	0	1.0162	0.8810	0.9580	1.0770	1.1170
aegis	225	3	1	0	0.8252	0.7770	0.7950	0.8510	0.9290
aegis	226	3	0	0	1.5818	1.4670	1.5240	1.6360	1.6990
aegis	227	3	0	0	2.6086	1.1020	2.4500	2.7570	2.8570
aegis	228	3	1	0	0.6986	0.6290	0.6600	0.7370	0.7710
aegis	229	3	0	0	0.6864	0.6050	0.6450	0.7290	0.7700
aegis	230	3	1	0	0.8448	0.5680	0.6960	1.0270	1.1920
aegis	231	3	1	0	1.4091	1.3000	1.3450	1.4730	1.5350
aegis	232	3	1	0	0.6693	0.6190	0.6340	0.7070	0.7540
aegis	233	3	1	0	4.4706	0.3730	0.8900	4.6240	4.8990
aegis	234	3	1	0	0.5726	0.5070	0.5340	0.6120	0.6420
aegis	235	3	1	0	1.7360	1.5610	1.6310	1.8330	1.9370
aegis	236	3	1	0	2.2786	1.9600	2.1490	2.4140	2.5050
aegis	237	3	1	0	0.0241	0.0100	0.0120	0.0380	0.0540
aegis	238	3	0	0	2.6732	2.4870	2.5180	2.8510	2.9190
aegis	239	3	1	0	1.4193	1.1000	1.1810	1.3650	1.3880
aegis	240	3	1	0	1.5959	1.1720	1.4410	1.6920	1.7340
aegis	241	3	1	0	1.7703	1.5050	1.6120	1.9290	2.2020
aegis	242	3	1	0	2.2626	1.8910	2.0750	2.4240	2.5740
aegis	243	3	1	0	1.1426	0.9580	1.0300	1.2660	1.4170
aegis	244	3	0	0	2.1025	1.4790	1.6110	2.3740	2.4420
aegis	245	3	1	0	2.8979	2.8190	2.8520	2.9510	2.9660
aegis	246	3	0	0	1.6092	1.5620	1.5730	1.6440	1.6770
aegis	247	3	1	0	1.5631	1.0520	1.3110	1.7850	1.9510
aegis	248	3	1	0	1.3165	0.3150	0.7970	1.4180	1.4610
aegis	249	3	0	0	1.6338	1.1840	1.3490	1.8660	1.9790
aegis	250	3	1	0	1.3793	0.6170	0.8640	2.0870	2.2910
aegis	251	3	1	0	1.4225	1.3410	1.3700	1.4790	1.5320
aegis	252	3	1	0	1.4175	1.1540	1.2660	1.5560	1.6680
aegis	253	3	1	0	0.5500	0.4610	0.4950	0.6080	0.6680
aegis	254	3	1	0	3.4718	0.3960	0.5750	3.5700	3.6960
aegis	255	3	1	0	0.9846	0.6990	0.8350	1.1240	1.2810
aegis	256	3	1	0	2.6252	2.3920	2.5020	2.7450	2.8290
aegis	257	3	0	0	1.6239	1.4510	1.5120	1.7190	1.9990
aegis	258	3	0	0	0.0597	0.0120	0.0270	0.0900	0.1090
aegis	259	3	1	0	2.7132	2.6300	2.6630	2.7670	2.8030
aegis	260	1	0	1	0.4505	-1.0000	-1.0000	-1.0000	-1.0000
aegis	261	3	0	0	2.7233	2.2110	2.4600	2.9620	3.2210
aegis	262	3	1	0	3.6801	3.5630	3.6090	3.7560	3.8100
aegis	263	3	0	0	1.6906	1.4320	1.5660	1.8250	1.9100
aegis	264	3	1	0	3.1784	2.9750	3.0760	3.2820	3.3560
aegis	265	3	1	0	2.4293	2.3130	2.3670	2.4930	2.5430
aegis	266	3	1	0	1.5463	1.3640	1.4280	1.6890	1.9320
aegis	267	3	0	0	0.7199	0.6730	0.6900	0.7500	0.7740
aegis	268	3	1	0	1.3371	1.0500	1.1730	1.4640	1.5820
aegis	269	3	1	0	1.7312	0.3970	0.5970	2.6200	3.0190
aegis	270	3	1	0	0.5678	0.4970	0.5300	0.6050	0.6330
aegis	271	3	1	0	0.2390	0.1970	0.2190	0.2600	0.2720
aegis	272	3	0	0	2.6169	2.4950	2.5400	2.6970	2.7670
aegis	273	3	1	0	0.4648	0.1810	0.3320	0.6010	0.7590
aegis	274	3	1	0	2.3365	2.1550	2.2470	2.4290	2.5040
aegis	275	3	0	0	1.6453	1.5400	1.5930	1.6980	1.7160
aegis	276	3	1	0	1.6195	1.2510	1.3860	1.8040	1.9250
aegis	277	3	1	0	0.3216	0.2540	0.2840	0.3600	0.3850
aegis	278	3	1	0	1.1680	0.7800	0.9970	1.3240	1.5230
aegis	279	3	1	0	1.5497	1.0860	1.2620	1.9120	2.2080
aegis	280	3	1	0	1.6894	1.3550	1.4720	1.9190	2.0880
aegis	281	3	1	0	0.6507	0.6000	0.6260	0.6770	0.6850
aegis	282	3	1	0	0.7424	0.6700	0.7000	0.7880	0.8250
aegis	283	3	1	0	0.6744	0.6060	0.6400	0.7130	0.7470
aegis	284	3	1	0	2.7343	0.3850	2.3790	2.9940	3.2690
aegis	285	3	1	0	1.6306	1.4150	1.5380	1.7190	1.7680
aegis	286	3	0	0	2.3444	2.1770	2.2640	2.4270	2.4840
aegis	287	3	1	0	1.6156	0.0280	1.3760	2.0470	2.3040
aegis	288	3	1	0	0.8412	0.6830	0.7320	0.9740	1.0410
aegis	289	3	1	0	1.0472	0.9320	0.9800	1.1340	1.1900
aegis	290	3	1	0	1.6950	1.5510	1.6070	1.7840	1.8590
aegis	291	3	1	0	0.6303	0.0720	0.4460	0.8040	0.9350
aegis	292	3	1	0	0.5394	0.4390	0.4730	0.6080	0.6560
aegis	293	3	1	0	0.7711	0.2770	0.5450	1.0590	2.2210
aegis	294	3	1	0	0.2003	0.0360	0.0930	0.3020	0.4810
aegis	295	3	1	0	2.3654	2.1030	2.2080	2.6390	2.7490
aegis	296	3	1	0	1.9806	1.6720	1.9150	2.0770	2.1180
aegis	297	3	1	0	2.4584	2.2880	2.3640	2.5610	2.6270
aegis	298	3	1	0	0.9748	0.8000	0.8810	1.0590	1.1530
aegis	299	3	1	0	0.7293	0.2240	0.5060	0.9640	1.1900
aegis	300	3	1	0	1.6532	1.2130	1.3350	1.9990	2.1750
aegis	301	3	1	0	1.8923	1.4210	1.5740	2.1540	2.3220
aegis	302	3	1	0	1.7470	1.4800	1.6010	1.8970	2.0460
aegis	303	3	1	0	1.6339	1.1110	1.4290	1.8170	2.0110
aegis	304	3	0	0	1.7309	1.4610	1.5930	1.8740	2.0140
aegis	305	3	1	0	0.3642	0.2980	0.3280	0.4010	0.4270
aegis	306	3	1	0	0.0607	0.0120	0.0220	0.0980	0.1390
aegis	307	3	1	0	1.6915	1.1380	1.3610	2.0340	2.3140
aegis	308	3	1	0	1.7216	1.1500	1.2560	2.2460	2.3850
aegis	309	3	1	0	1.5469	0.6480	1.0040	2.1620	2.6470
aegis	310	3	1	0	4.9173	3.6630	4.4120	5.4700	5.7190
aegis	311	3	1	0	0.8420	0.6690	0.7510	0.9320	1.0260
aegis	312	3	1	0	1.7026	1.2610	1.4200	1.9900	2.2070
aegis	313	3	0	0	0.0154	0.0100	0.0110	0.0310	0.0350
aegis	314	3	1	0	1.2872	0.8510	1.0060	1.6410	1.9010
aegis	315	3	1	0	3.2955	3.1360	3.2110	3.3810	3.4500
aegis	316	3	1	0	2.4476	2.2310	2.3230	2.5750	2.6270
aegis	317	3	1	0	0.5267	0.2840	0.3920	0.6660	0.7860
aegis	318	3	1	0	0.8064	0.6970	0.7780	0.8410	0.8700
aegis	319	3	1	0	1.8739	1.7470	1.8030	1.9530	2.0090
aegis	320	3	1	0	2.4605	2.2140	2.3540	2.5740	2.6680
aegis	321	3	1	0	3.5014	3.2190	3.3440	3.6680	3.8450
aegis	322	3	0	0	1.2005	1.0600	1.1090	1.2870	1.3310
aegis	323	3	1	0	3.0290	2.8680	2.9250	3.1390	3.2030
aegis	324	3	1	0	1.5420	0.3550	1.0860	1.9480	2.1440
aegis	325	3	1	0	0.7964	0.2690	0.5020	1.0840	1.4780
aegis	326	3	1	0	1.3484	0.1530	0.7190	1.7920	2.1620
aegis	327	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	328	3	1	0	4.7290	4.1530	4.5180	4.9410	5.0200
aegis	329	3	1	0	1.3397	0.5330	1.1380	1.4470	2.3950
aegis	330	3	1	0	1.6265	0.8870	1.2180	2.0170	2.3150
aegis	331	3	1	0	0.6813	0.6280	0.6540	0.7110	0.7350
aegis	332	3	0	0	3.0236	2.8480	2.9220	3.1270	3.2170
aegis	333	3	1	0	0.9203	0.7710	0.8520	0.9910	1.0740
aegis	334	3	1	0	1.2093	1.1540	1.1790	1.2420	1.2620
aegis	335	3	1	0	0.7572	0.6760	0.7070	0.8100	0.8390
aegis	336	3	1	0	0.2077	0.0240	0.0810	0.3160	0.4510
aegis	337	3	1	0	1.3612	0.9430	1.2120	1.5000	1.9550
aegis	338	3	1	0	1.2500	0.9630	1.0600	1.3940	1.5460
aegis	339	3	1	0	1.3809	1.2120	1.2980	1.4710	1.5560
aegis	340	3	1	0	0.2034	0.1450	0.1680	0.2380	0.2600
aegis	341	3	1	0	2.2617	2.1340	2.1950	2.3310	2.3760
aegis	342	3	1	0	1.2452	1.1040	1.1840	1.3100	1.3770
aegis	343	3	0	0	2.0076	1.7100	1.9030	2.1280	2.2290
aegis	344	3	1	0	0.6384	0.4260	0.5040	0.7530	0.9910
aegis	345	3	0	0	3.2546	3.0610	3.1520	3.3540	3.3810
aegis	346	3	0	0	2.4529	2.1410	2.3010	2.6050	2.7040
aegis	347	3	1	0	1.9521	1.7670	1.8730	2.0300	2.1020
aegis	348	3	1	0	2.3599	1.8620	2.1480	2.5820	2.7720
aegis	349	3	1	0	2.2975	2.6340	2.6490	2.8180	2.9510
aegis	350	3	1	0	0.5643	0.4640	0.5070	0.6240	0.6670
aegis	351	3	0	0	0.0207	0.0100	0.0120	0.0350	0.0610
aegis	352	3	1	0	1.3831	1.2980	1.3330	1.4320	1.4760
aegis	353	3	1	0	0.9772	0.5650	0.7270	1.2130	1.3400
aegis	354	3	1	0	0.3067	0.0290	0.1750	0.4610	0.5720
aegis	355	3	1	0	4.3176	4.1000	4.2020	4.4360	4.5170
aegis	356	3	1	0	0.5925	0.4400	0.5260	0.6580	0.7190
aegis	357	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
aegis	358	3	1	0	0.2838	0.1510	0.2160	0.3560	0.4010
aegis	359	3	1	0	0.3089	0.0910	0.1900	0.4640	0.6270
aegis	360	3	1	0	0.9143	0.7840	0.8470	0.9880	1.0350
aegis	361	3	0	0	0.0290	0.0100	0.0130	0.0500	0.0650
aegis	362	3	0	0	2.5293	2.3590	2.4420	2.6160	2.6820
aegis	363	3	1	0	0.4566	0.3420	0.3980	0.5170	0.5630
aegis	364	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	365	3	1	0	2.9422	0.5160	2.6770	3.2360	3.3610
aegis	366	3	1	0	2.1883	2.0520	2.1090	2.2710	2.3330
aegis	367	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	368	3	1	0	2.5451	2.2870	2.4010	2.6850	2.7870
aegis	369	3	1	0	3.2889	3.1710	3.2510	4.2250	4.6050
aegis	370	3	1	0	0.8883	0.7420	0.7900	1.0000	1.0710
